person_id,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,num_r_case,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_reci
832,39.0,0.0,0.0,0.0,16.0,1.0,Male,Caucasian,(F3),arrest case no charge,1,(F3),Grand Theft in the 3rd Degree,,,,1,
792,45.0,0.0,0.0,0.0,21.0,1.0,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,1,(F3),Grand Theft in the 3rd Degree,,,,1,
816,51.0,0.0,0.0,0.0,8.0,1.0,Male,Caucasian,(F3),Possession of Cocaine,1,(F3),Grand Theft in the 3rd Degree,,,,1,
77,27.0,0.0,1.0,3.0,6.0,1.0,Male,Caucasian,(F3),Felony Battery (Dom Strang),1,(F3),Grand Theft in the 3rd Degree,,,,1,
3,30.0,0.0,0.0,0.0,9.0,1.0,Male,Caucasian,(F3),Felony Battery w/Prior Convict,1,(F3),Grand Theft (Motor Vehicle),,,,1,
531,33.0,0.0,0.0,0.0,3.0,1.0,Male,Caucasian,(F3),Poss Of 1;4-Butanediol,1,(F3),Possession Of Methamphetamine,,,,1,
976,24.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),arrest case no charge,1,(F3),Burglary Conveyance Unoccup,,,,1,
681,47.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),Burglary Conveyance Unoccup,1,(F3),Burglary Conveyance Unoccup,,,,1,
242,27.0,0.0,0.0,0.0,6.0,1.0,Male,African-American,(F3),Possession Of Methamphetamine,1,(F3),Burglary Conveyance Unoccup,,,,1,
155,29.0,0.0,0.0,1.0,10.0,1.0,Male,African-American,(F3),Deliver Cannabis,1,(F3),Driving While License Revoked,,,,1,
78,42.0,0.0,0.0,0.0,14.0,1.0,Male,African-American,(F3),Drivg While Lic Suspd/Revk/Can,1,(F3),Driving While License Revoked,,,,1,
1052,34.0,0.0,0.0,0.0,12.0,1.0,Male,African-American,(F3),Leaving the Scene of Accident,1,(F3),Poss3;4 Methylenedioxymethcath,,,,1,
1079,60.0,0.0,0.0,0.0,13.0,1.0,Male,African-American,(F3),Felony Petit Theft,1,(F3),Felony Petit Theft,,,,1,
321,41.0,0.0,0.0,0.0,2.0,1.0,Male,Other,(F3),Felony Petit Theft,1,(F3),Grand Theft in the 3rd Degree,,,,1,
961,27.0,0.0,0.0,0.0,1.0,1.0,Male,Hispanic,(F3),Grand Theft in the 3rd Degree,1,(F3),Grand Theft in the 3rd Degree,,,,1,
636,28.0,0.0,0.0,0.0,3.0,1.0,Male,Hispanic,(F3),Possession of Cannabis,1,(F3),Possession of Cannabis,,,,1,
836,21.0,0.0,0.0,0.0,0.0,1.0,Male,Other,(F3),Attempted Burg/Convey/Unocc,1,(F3),Grand Theft (Motor Vehicle),,,,1,
188,25.0,0.0,0.0,0.0,7.0,1.0,Male,Other,(F7),Burglary Conveyance Assault/Bat,1,(F3),Neglect Child / No Bodily Harm,,(F2),Neglect Child / Bodily Harm,1,
649,28.0,0.0,0.0,0.0,2.0,1.0,Male,African-American,(F3),arrest case no charge,1,(M1),Resist/Obstruct W/O Violence,,,,1,
168,27.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F3),Possession of Cannabis,1,(M1),Resist/Obstruct W/O Violence,,,,1,
631,29.0,0.0,0.0,0.0,6.0,1.0,Male,African-American,(F3),Driving While License Revoked,1,(M1),Resist/Obstruct W/O Violence,,,,1,
1099,25.0,0.0,0.0,0.0,3.0,1.0,Male,African-American,(F3),Driving While License Revoked,1,(M1),Criminal Mischief>$200<$1000,,,,1,
735,31.0,0.0,0.0,0.0,4.0,1.0,Male,African-American,(F3),arrest case no charge,1,(M1),Viol Pretrial Release Dom Viol,,,,1,
70,35.0,0.0,0.0,1.0,8.0,1.0,Male,African-American,(F3),Felony Battery w/Prior Convict,1,(M1),Viol Pretrial Release Dom Viol,,,,1,
255,37.0,0.0,0.0,0.0,8.0,1.0,Male,African-American,(F3),Felony Driving While Lic Suspd,1,(M1),Opert With Susp DL 2nd Offens,,,,1,
639,24.0,0.0,0.0,0.0,7.0,1.0,Male,African-American,(F3),Crim Attempt/Solic/Consp,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
474,21.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
514,20.0,0.0,1.0,0.0,2.0,1.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
430,22.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Trespass Other Struct/Conve,,,,1,
1161,21.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Burglary Conveyance Unoccup,1,(M1),Making An Affray/Riot,,,,1,
230,26.0,0.0,0.0,0.0,3.0,1.0,Male,African-American,(F3),Crimin Mischief Damage $1000+,1,(M1),,,,,1,
600,26.0,0.0,0.0,0.0,4.0,1.0,Male,African-American,(F3),Grand Theft (Motor Vehicle),1,(M1),Petit Theft $100- $300,,,,1,
115,45.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Grand Theft (Motor Vehicle),1,(M1),Extradition/Defendants,,,,1,
319,60.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(M1),Petit Theft $100- $300,,,,1,
845,29.0,0.0,1.0,1.0,4.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(M1),Viol Injunct Domestic Violence,,,,1,
447,21.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(F3),Pos Cannabis W/Intent Sel/Del,,,,1,
47,20.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(MO3),Enter City Park/ Prohibited Hrs,,,,1,
1024,23.0,1.0,0.0,0.0,5.0,1.0,Male,African-American,(F3),Possession Burglary Tools,1,(F1),Aid/Abet Burglary Assault/Batt,,(F1),Aid/Abet Burglary Assault/Batt,1,
262,48.0,0.0,0.0,0.0,14.0,2.0,Male,African-American,(F3),arrest case no charge,2,(F3),Possession of Cocaine,,,,1,
106,46.0,0.0,0.0,0.0,17.0,2.0,Male,African-American,(F3),arrest case no charge,2,(F3),,,,,1,
1084,24.0,0.0,0.0,0.0,11.0,2.0,Male,African-American,(F3),arrest case no charge,2,(F3),Possession Of Alprazolam,,,,1,
340,29.0,0.0,0.0,1.0,11.0,2.0,Male,African-American,(F3),arrest case no charge,2,(F3),Possession Of Methamphetamine,,,,1,
96,20.0,0.0,1.0,1.0,4.0,2.0,Male,African-American,(F3),arrest case no charge,2,(F3),Grand Theft in the 3rd Degree,,,,1,
205,24.0,0.0,0.0,0.0,0.0,2.0,Male,African-American,(F3),Possession Burglary Tools,2,(F3),Grand Theft in the 3rd Degree,,,,1,
268,34.0,0.0,0.0,0.0,27.0,2.0,Male,African-American,(F3),Felony Petit Theft,2,(F3),Grand Theft in the 3rd Degree,,,,1,
359,28.0,0.0,0.0,0.0,9.0,2.0,Male,African-American,(F3),Driving While License Revoked,2,(F3),Driving While License Revoked,,,,1,
143,33.0,0.0,0.0,0.0,0.0,2.0,Male,African-American,(F3),Felony Driving While Lic Suspd,2,(F3),Possession of Cannabis,,,,1,
938,61.0,0.0,0.0,0.0,8.0,2.0,Male,African-American,(F3),Possession of Cocaine,2,(F3),Possession of Cocaine,,,,1,
765,34.0,2.0,0.0,1.0,8.0,3.0,Male,African-American,(F3),Possession of Cocaine,3,(F3),Possession of Cocaine,,,,1,
22,27.0,0.0,0.0,0.0,3.0,3.0,Male,African-American,(F3),Possession of Cocaine,3,(F3),Felony Driving While Lic Suspd,,,,1,
286,28.0,0.0,0.0,0.0,8.0,3.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,3,(F3),Grand Theft Firearm,,,,1,
570,25.0,0.0,0.0,2.0,11.0,3.0,Male,African-American,(F3),Fleeing Or Attmp Eluding A Leo,3,(F3),Possession Burglary Tools,,,,1,
137,23.0,0.0,3.0,1.0,6.0,3.0,Male,African-American,(F3),Burglary Conveyance Unoccup,3,(F3),Grand Theft in the 3rd Degree,,,,1,
351,52.0,0.0,0.0,0.0,9.0,3.0,Male,Hispanic,(F3),Felony Petit Theft,3,(F3),Grand Theft in the 3rd Degree,,,,1,
30,35.0,0.0,1.0,0.0,23.0,3.0,Female,African-American,(F3),Felony Petit Theft,3,(F3),Felony Petit Theft,,,,1,
721,22.0,0.0,0.0,0.0,5.0,1.0,Female,African-American,(F3),Grand Theft in the 3rd Degree,1,(F3),Grand Theft in the 3rd Degree,,,,1,
257,23.0,0.0,0.0,0.0,2.0,1.0,Female,African-American,(F3),Grand Theft in the 3rd Degree,1,(F3),Grand Theft in the 3rd Degree,,,,1,
495,26.0,0.0,0.0,0.0,3.0,1.0,Female,African-American,(F3),Pos Cannabis W/Intent Sel/Del,1,(F3),Felony Driving While Lic Suspd,,,,1,
1001,41.0,0.0,0.0,0.0,2.0,1.0,Female,African-American,(F3),Aggravated Assault W/dead Weap,1,(F3),Fail to Report Change/Residence,,,,1,
