person_id,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,num_r_cases,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
10162,25.0,0.0,0.0,0.0,3.0,0.0,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,,,,,,,0,0
3686,24.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,,,,,,,0,0
4076,33.0,0.0,0.0,0.0,6.0,0.0,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,,,,,,,0,0
5036,21.0,0.0,0.0,11.0,2.0,0.0,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,,,,,,,0,0
774,26.0,0.0,0.0,0.0,1.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
70,29.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
3003,42.0,0.0,0.0,0.0,1.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
1610,21.0,0.0,0.0,2.0,4.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
164,21.0,1.0,0.0,1.0,2.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
7647,68.0,0.0,0.0,0.0,2.0,0.0,Male,African-American,(F3),Tampering With Physical Evidence,,,,,,,0,0
1971,44.0,0.0,0.0,0.0,2.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
322,45.0,0.0,0.0,0.0,3.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
8603,38.0,0.0,0.0,0.0,2.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
111,40.0,0.0,0.0,0.0,2.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
11688,33.0,0.0,0.0,0.0,5.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
1043,31.0,0.0,0.0,0.0,5.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
8605,35.0,0.0,0.0,0.0,6.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
8854,35.0,0.0,0.0,0.0,4.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
8775,41.0,0.0,0.0,0.0,7.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
6669,39.0,0.0,0.0,0.0,35.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
7590,51.0,0.0,0.0,0.0,33.0,0.0,Male,African-American,(F3),Aggravated Assault W/Dead Weap,,,,,,,0,0
5303,54.0,0.0,0.0,0.0,26.0,0.0,Male,African-American,(F3),Battery on Law Enforc Officer,,,,,,,0,0
10802,34.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
6868,38.0,0.0,0.0,0.0,1.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
6048,31.0,0.0,0.0,0.0,6.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
