person_id,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,num_r_cases,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_recid
6439,25.0,0.0,0.0,0.0,5.0,1.0,Male,African-American,(F3),arrest case no charge,1,(M1),Battery,,(M1),Battery,1,1
2208,32.0,0.0,0.0,0.0,2.0,1.0,Male,African-American,(F3),Driving While License Revoked,1,(M1),Battery,,(M1),Battery,1,1
9495,21.0,0.0,1.0,0.0,2.0,1.0,Male,Hispanic,(F2),Burglary Dwelling Occupied,1,(M1),Battery,,(M1),Battery,1,1
2560,21.0,0.0,0.0,0.0,0.0,1.0,Male,Caucasian,(F2),Sale/Del Cannabis At/Near Scho,1,(F3),Possession Of Alprazolam,,(M1),Battery,1,1
3134,24.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
1025,36.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
5583,37.0,0.0,0.0,0.0,11.0,1.0,Male,African-American,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
4929,49.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(M2),Assault,1,(M1),Battery,,(M1),Battery,1,1
6755,19.0,0.0,0.0,0.0,0.0,1.0,Female,African-American,(M2),Criminal Mischief Damage <$200,1,(M1),Battery,,(M1),Battery,1,1
1777,21.0,1.0,2.0,2.0,3.0,1.0,Female,African-American,(F3),Grand Theft In The 3Rd Degree,1,(M1),Battery,,(M1),Battery,1,1
9125,51.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
5261,44.0,0.0,0.0,0.0,0.0,1.0,Male,Caucasian,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
8758,47.0,0.0,0.0,0.0,13.0,1.0,Male,Caucasian,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
10540,31.0,0.0,0.0,0.0,1.0,1.0,Female,Caucasian,(M1),Battery,1,(M1),Battery,,(M1),Battery,1,1
154,39.0,0.0,0.0,0.0,0.0,1.0,Female,Caucasian,(F3),Aggravated Assault W/Dead Weap,1,(M1),Battery,,(M1),Battery,1,1
1631,47.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),Possession of Cocaine,1,(M1),Battery,,(M1),Battery,1,1
1900,30.0,0.0,0.0,0.0,10.0,1.0,Male,Caucasian,(F7),arrest case no charge,1,(M1),Battery,,(M1),Battery,1,1
6058,33.0,0.0,0.0,0.0,0.0,1.0,Male,Other,(F7),arrest case no charge,1,(M1),Viol Injunct Domestic Violence,,(M1),Battery,1,1
5064,28.0,0.0,0.0,0.0,2.0,1.0,Male,Caucasian,(F3),arrest case no charge,1,(M2),Operating W/O Valid License,,(M1),Battery,1,1
183,31.0,0.0,0.0,0.0,13.0,1.0,Male,Caucasian,(F3),arrest case no charge,1,(F2),Burglary Unoccupied Dwelling,,(M1),Battery,1,1
8974,22.0,0.0,0.0,0.0,2.0,1.0,Male,African-American,(F3),Robbery Sudd Snatch No Weapon,1,(M2),Operating W/O Valid License,,(M1),Battery,1,1
917,22.0,0.0,0.0,0.0,11.0,1.0,Male,African-American,(F3),Possession of Cocaine,1,(F3),Poss Pyrrolidinovalerophenone,,(M1),Battery,1,1
6915,30.0,0.0,1.0,0.0,9.0,1.0,Male,African-American,(F3),Criminal Mischief,1,(F3),Grand Theft in the 3rd Degree,,(M1),Battery,1,1
7796,30.0,0.0,0.0,0.0,2.0,2.0,Male,African-American,(F3),Crim Use of Personal ID Info,2,(F3),Driving While License Revoked,,(M1),Battery,1,1
9509,27.0,0.0,0.0,0.0,9.0,3.0,Male,African-American,(F3),Poss Contr Subst W/o Prescript,3,(M2),Trespass Structure/Conveyance,,(M1),Battery,1,1
10270,29.0,0.0,0.0,0.0,0.0,1.0,Female,Hispanic,(M1),Battery,1,(F2),Aggrav Battery w/Deadly Weapon,,(F2),Aggrav Battery w/Deadly Weapon,1,1
9054,25.0,0.0,0.0,1.0,6.0,1.0,Male,African-American,(M1),Battery,1,(F2),Aggrav Battery w/Deadly Weapon,,(F2),Aggrav Battery w/Deadly Weapon,1,1
6919,27.0,0.0,0.0,0.0,0.0,1.0,Female,African-American,(F2),Neglect Child / Bodily Harm,1,(F2),Aggrav Battery w/Deadly Weapon,,(F2),Aggrav Battery w/Deadly Weapon,1,1
11725,25.0,0.0,0.0,0.0,3.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
2799,23.0,0.0,0.0,0.0,4.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
11152,31.0,0.0,0.0,0.0,10.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
3399,35.0,3.0,0.0,0.0,13.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
9545,55.0,0.0,0.0,0.0,5.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
4712,56.0,0.0,0.0,0.0,6.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
6240,50.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
4408,42.0,0.0,0.0,0.0,3.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
6065,57.0,0.0,0.0,0.0,19.0,0.0,Male,African-American,(F3),Possession of Cocaine,,,,,,,0,0
11750,56.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Grand Theft (Motor Vehicle),,,,,,,0,
10534,53.0,0.0,0.0,0.0,1.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
8138,56.0,0.0,0.0,0.0,1.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
5462,57.0,0.0,0.0,0.0,3.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
4497,60.0,0.0,0.0,0.0,7.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
8826,54.0,0.0,0.0,0.0,13.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
6795,72.0,0.0,0.0,0.0,8.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
3701,61.0,0.0,0.0,0.0,30.0,0.0,Male,African-American,(F3),arrest case no charge,,,,,,,0,0
9761,59.0,0.0,0.0,0.0,39.0,0.0,Male,African-American,(F3),Burglary Structure Unoccup,,,,,,,0,0
10699,57.0,0.0,0.0,0.0,28.0,6.0,Male,African-American,(F3),Possession of Cocaine,6,(M1),Resist/Obstruct W/O Violence,,(F3),Battery on Law Enforc Officer,1,1
956,24.0,0.0,0.0,0.0,4.0,1.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Viol Injunct Domestic Violence,,(F1),Robbery / Weapon,1,1
6250,21.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F3),Bribery Athletic Contests,1,(M1),Resist/Obstruct W/O Violence,,(M2),Assault,1,1
5730,39.0,0.0,2.0,0.0,22.0,1.0,Female,African-American,(F3),Possession of Cocaine,1,(M1),Resist/Obstruct W/O Violence,,(F2),Aggrav Battery w/Deadly Weapon,1,1
4742,27.0,0.0,0.0,0.0,0.0,0.0,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
1690,31.0,0.0,0.0,0.0,0.0,0.0,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
10267,31.0,0.0,0.0,0.0,4.0,0.0,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
459,32.0,0.0,0.0,0.0,5.0,0.0,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
2770,22.0,0.0,0.0,0.0,0.0,0.0,Female,Other,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
11658,22.0,0.0,0.0,0.0,1.0,0.0,Female,Caucasian,(F2),Dealing in Stolen Property,,,,,,,0,0
5521,47.0,0.0,0.0,0.0,0.0,0.0,Female,Hispanic,(F2),Dealing in Stolen Property,,,,,,,0,0
3489,24.0,0.0,0.0,0.0,1.0,0.0,Female,African-American,(F2),arrest case no charge,,,,,,,0,0
367,30.0,1.0,0.0,0.0,2.0,0.0,Female,African-American,(F2),arrest case no charge,,,,,,,0,0
5665,51.0,0.0,0.0,0.0,4.0,0.0,Female,Caucasian,(F2),arrest case no charge,,,,,,,0,0
5030,31.0,0.0,0.0,0.0,1.0,0.0,Female,Caucasian,(F2),arrest case no charge,,,,,,,0,0
1118,45.0,0.0,0.0,0.0,1.0,0.0,Female,Caucasian,(F1),arrest case no charge,,,,,,,0,0
6484,52.0,0.0,0.0,0.0,0.0,0.0,Female,Caucasian,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
2668,35.0,0.0,1.0,0.0,3.0,0.0,Female,Caucasian,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,0
10728,35.0,0.0,0.0,1.0,5.0,3.0,Female,African-American,(F2),Aggrav Battery w/Deadly Weapon,3,(M1),Battery,,(F3),Aggravated Assault W/Dead Weap,1,1
115,26.0,0.0,0.0,0.0,1.0,3.0,Female,African-American,(F2),Poss Cocaine/Intent To Del/Sel,3,(M1),Resist/Obstruct W/O Violence,,(F3),Child Abuse,1,1
10033,35.0,0.0,0.0,0.0,7.0,4.0,Female,African-American,(F3),arrest case no charge,4,(M1),Possess Cannabis/20 Grams Or Less,,(F3),Aggravated Assault W/Dead Weap,1,1
10888,26.0,0.0,0.0,0.0,4.0,5.0,Female,African-American,(F3),Felony Battery,5,(M1),Possess Cannabis/20 Grams Or Less,,(F3),Felony Battery w/Prior Convict,1,1
5967,40.0,0.0,0.0,0.0,13.0,2.0,Female,African-American,(F3),Possession of Cocaine,2,(F3),Possession of Cocaine,,(F3),Felony Battery w/Prior Convict,1,1
9973,20.0,0.0,0.0,1.0,0.0,4.0,Male,African-American,(F3),Possession of Cocaine,4,(F3),Tampering With Physical Evidence,,(F3),Battery on Law Enforc Officer,1,1
8434,34.0,0.0,0.0,0.0,0.0,4.0,Male,African-American,(F3),Possession of Cocaine,4,(F3),Aggravated Assault w/Firearm,,(F3),Aggravated Assault w/Firearm,1,1
7296,57.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
2670,63.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
920,50.0,0.0,0.0,0.0,4.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
1278,57.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,0
6236,33.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
2457,32.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
4597,33.0,0.0,0.0,0.0,3.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
4687,24.0,0.0,0.0,0.0,2.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
373,24.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,0
5287,32.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Resist Officer w/Violence,,,,,,,0,0
8845,21.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Aggravated Assault w/Firearm,,,,,,,0,0
4876,50.0,0.0,0.0,0.0,5.0,0.0,Male,Other,(F2),arrest case no charge,,,,,,,0,0
4644,25.0,0.0,0.0,0.0,1.0,0.0,Male,Other,(F2),arrest case no charge,,,,,,,0,0
11032,27.0,0.0,0.0,0.0,1.0,0.0,Male,Other,(F2),Traffick Hydrocodone   4g><14g,,,,,,,0,0
4175,27.0,0.0,0.0,0.0,6.0,0.0,Male,Other,(F2),Burglary Unoccupied Dwelling,,,,,,,0,0
3673,33.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(F2),Sell or Offer for Sale Counterfeit Goods,,,,,,,0,0
188,33.0,0.0,0.0,0.0,2.0,0.0,Male,Other,(MO3),Failure To Pay Taxi Cab Charge,,,,,,,0,0
5308,36.0,0.0,0.0,0.0,8.0,0.0,Male,Other,(MO3),arrest case no charge,,,,,,,0,0
11499,27.0,0.0,0.0,0.0,4.0,2.0,Male,Other,(F3),Grand Theft in the 3rd Degree,2,(F2),Sexual Battery / Vict 12 Yrs +,,(F2),Sexual Battery / Vict 12 Yrs +,1,1
4276,21.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Felony Battery (Dom Strang),1,(F2),Sexual Battery / Vict 12 Yrs +,,(F2),Sexual Battery / Vict 12 Yrs +,1,1
2664,27.0,0.0,0.0,0.0,0.0,1.0,Male,African-American,(F3),Aggravated Assault W/Dead Weap,1,(F2),Throw Deadly Missile Into Veh,,(F2),Throw Deadly Missile Into Veh,1,1
7700,28.0,0.0,0.0,0.0,6.0,1.0,Male,African-American,(F3),Grand Theft (Motor Vehicle),1,(F2),Robbery / No Weapon,,(F2),Robbery / No Weapon,1,1
4387,28.0,0.0,1.0,0.0,6.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(F2),Aggravated Battery / Pregnant,,(F2),Aggravated Battery / Pregnant,1,1
5550,24.0,0.0,4.0,0.0,14.0,1.0,Male,African-American,(F3),Grand Theft (Motor Vehicle),1,(F2),Robbery,,(F2),Robbery,1,1
1187,21.0,0.0,2.0,1.0,2.0,1.0,Male,Caucasian,(F3),Grand Theft (Motor Vehicle),1,(F2),Robbery Sudd Snatch w/Weapon,,(F2),Robbery Sudd Snatch w/Weapon,1,1
2297,21.0,0.0,0.0,0.0,5.0,1.0,Male,Caucasian,(F3),Poss Pyrrolidinovalerophenone,1,(F2),Agg Battery Grt/Bod/Harm,,(F2),Agg Battery Grt/Bod/Harm,1,1
6165,34.0,0.0,0.0,0.0,5.0,1.0,Male,Caucasian,(M2),Petit Theft,1,(M2),Petit Theft,,(F2),Aggrav Battery w/Deadly Weapon,1,1
6525,51.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),Possession Of Alprazolam,1,(M2),Ped Obstruct Traf/No Permit Sol,,(F3),Aggravated Assault W/Dead Weap,1,1
11202,28.0,0.0,1.0,0.0,2.0,1.0,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,(M2),Disorderly Conduct,,(F3),Aggravated Assault W/Dead Weap,1,1
1556,27.0,2.0,1.0,0.0,5.0,1.0,Male,African-American,(F3),Robbery W/Firearm,1,(F3),Robbery Sudd Snatch No Weapon,,(F3),Robbery Sudd Snatch No Weapon,1,1
1759,41.0,0.0,0.0,0.0,17.0,1.0,Male,Caucasian,(M2),Driving License Suspended,1,(F3),Robbery Sudd Snatch No Weapon,,(F3),Robbery Sudd Snatch No Weapon,1,1
7124,36.0,0.0,0.0,0.0,4.0,3.0,Male,Caucasian,(M2),Theft,3,(F3),Corrupt Public Servant,,(F3),Battery on Law Enforc Officer,1,1
11556,26.0,0.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,0
7316,39.0,0.0,0.0,0.0,2.0,0.0,Male,Hispanic,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,0
9958,25.0,0.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M1),Felony Battery (Dom Strang),,,,,,,0,0
5777,39.0,0.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M1),Felony Battery (Dom Strang),,,,,,,0,0
4683,29.0,0.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M1),Battery,,,,,,,0,0
524,27.0,0.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M1),Battery,,,,,,,0,0
9069,27.0,0.0,0.0,0.0,2.0,0.0,Male,Hispanic,(M1),Battery,,,,,,,0,0
3592,25.0,0.0,0.0,0.0,1.0,0.0,Male,Hispanic,(M1),Battery,,,,,,,0,0
