person_id,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,num_r_case,sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,is_violent_reci
90,22.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(M1),Battery,2,(M2),Driving License Suspended,,,,1,
12,23.0,0.0,0.0,0.0,3.0,3.0,Male,African-American,(M1),Battery,1,(M2),Driving License Suspended,,,,1,
70,38.0,0.0,0.0,0.0,4.0,4.0,Male,Caucasian,(M1),Battery,2,(M2),Susp Drivers Lic 1st Offense,,,,1,
67,63.0,0.0,0.0,0.0,10.0,10.0,Male,African-American,(M1),Possess Drug Paraphernalia,1,(M2),Petit Theft,,,,1,
129,33.0,0.0,0.0,0.0,5.0,5.0,Male,African-American,(F3),Poss Contr Subst W/o Prescript,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
60,24.0,0.0,0.0,0.0,2.0,2.0,Male,African-American,(F3),Poss Tetrahydrocannabinols,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
69,27.0,1.0,1.0,2.0,15.0,15.0,Male,African-American,(F3),Driving While License Revoked,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
16,31.0,0.0,0.0,0.0,7.0,7.0,Male,African-American,(F3),Felony Driving While Lic Suspd,1,(M1),Criminal Mischief>$200<$1000,,,,1,
2,24.0,0.0,0.0,1.0,4.0,4.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Driving Under The Influence,,,,1,
132,41.0,0.0,1.0,0.0,10.0,10.0,Male,African-American,(F3),Possession of Cocaine,1,(M1),Resist/Obstruct W/O Violence,,,,1,
48,29.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F3),Defrauding Innkeeper $300/More,1,(M1),Viol Injunct Domestic Violence,,,,1,
104,26.0,0.0,0.0,0.0,7.0,7.0,Male,Caucasian,(F3),Possession Burglary Tools,1,(M1),Resist/Obstruct W/O Violence,,,,1,
24,24.0,0.0,0.0,0.0,1.0,1.0,Male,Hispanic,(F3),Lewd/Lasc Battery Pers 12+/<16,1,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
54,29.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),Possession of Oxycodone,2,(M1),Driving Under The Influence,,,,1,
105,21.0,0.0,0.0,0.0,1.0,1.0,Male,Other,(F3),Grand Theft in the 3rd Degree,2,(M1),Possess Drug Paraphernalia,,,,1,
116,24.0,0.0,1.0,2.0,8.0,8.0,Male,Caucasian,(F3),False Ownership Info/Pawn Item,2,(F2),Poss Wep Conv Felon,,,,1,
5,41.0,0.0,0.0,0.0,14.0,14.0,Male,Caucasian,(F3),Possession Burglary Tools,3,(F2),Poss of Firearm by Convic Felo,,,,1,
72,22.0,0.0,0.0,1.0,1.0,1.0,Male,African-American,(F3),Poss Firearm W/Altered ID#,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
32,26.0,0.0,0.0,1.0,5.0,5.0,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,2,(M1),Possess Cannabis/20 Grams Or Less,,,,1,
99,22.0,1.0,0.0,0.0,2.0,2.0,Male,African-American,(F3),Attempted Burg/struct/unocc,2,(M1),Resist/Obstruct W/O Violence,,,,1,
34,32.0,0.0,0.0,0.0,4.0,4.0,Male,African-American,(F3),Att Tamper w/Physical Evidence,5,(M1),Resist/Obstruct W/O Violence,,,,1,
86,29.0,0.0,0.0,0.0,5.0,5.0,Male,African-American,(F3),False Name By Person Arrest,2,(M2),Operating W/O Valid License,,,,1,
23,24.0,0.0,0.0,0.0,2.0,2.0,Male,African-American,(F3),Poss Pyrrolidinovalerophenone,2,(M2),Petit Theft,,,,1,
74,22.0,0.0,1.0,2.0,2.0,2.0,Male,African-American,(F3),Sell Conterfeit Cont Substance,2,(M2),Susp Drivers Lic 1st Offense,,,,1,
100,23.0,0.0,0.0,1.0,2.0,2.0,Male,African-American,(M2),arrest case no charge,2,(M2),Leave Acc/Attend Veh/More $50,,,,1,
53,34.0,0.0,0.0,0.0,4.0,4.0,Male,African-American,(M2),Driving License Suspended,1,(M2),DWLS Canceled Disqul 1st Off,,,,1,
21,21.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F3),Battery on Law Enforc Officer,1,(M2),Prowling/Loitering,,,,1,
141,33.0,0.0,0.0,0.0,19.0,19.0,Male,African-American,(F3),arrest case no charge,1,(M2),Petit Theft,,,,1,
143,22.0,0.0,0.0,0.0,4.0,4.0,Male,Caucasian,(F3),Possession Of Alprazolam,1,(M2),Petit Theft,,,,1,
110,39.0,0.0,0.0,0.0,2.0,2.0,Male,Caucasian,(F3),Possession Of Alprazolam,1,(F3),Possession of Hydromorphone,,,,1,
131,42.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),Aggrav Stalking After Injunctn,1,(F3),Aggrav Stalking After Injunctn,,,,1,
87,27.0,0.0,0.0,1.0,1.0,1.0,Male,Caucasian,(F3),arrest case no charge,1,(F3),Pos Cannabis W/Intent Sel/Del,,,,1,
19,31.0,0.0,0.0,0.0,5.0,5.0,Male,Caucasian,(F3),Possession Of Heroin,2,(F3),Possession of Cocaine,,,,1,
15,47.0,0.0,0.0,0.0,1.0,1.0,Female,Caucasian,(F3),arrest case no charge,2,(F3),Grand Theft (Motor Vehicle),,,,1,
126,38.0,0.0,0.0,0.0,5.0,5.0,Male,Caucasian,(M1),Possess Cannabis/20 Grams Or Less,2,(F3),Possession of Cannabis,,,,1,
41,33.0,0.0,0.0,0.0,4.0,4.0,Female,Caucasian,(M1),Battery,1,(F3),Grand Theft in the 3rd Degree,,,,1,
50,25.0,0.0,0.0,0.0,9.0,9.0,Male,Caucasian,(M1),Battery,1,(F2),Agg Battery Grt/Bod/Harm,,(F2),Agg Battery Grt/Bod/Harm,1,
64,49.0,0.0,0.0,0.0,4.0,4.0,Male,African-American,(M1),Battery,,,,,,,0,
35,63.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(M1),Battery,,,,,,,0,
85,24.0,0.0,1.0,0.0,4.0,4.0,Male,African-American,(M1),Battery,,,,,,,0,
84,39.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(M1),arrest case no charge,,,,,,,0,
44,51.0,0.0,0.0,0.0,2.0,2.0,Male,African-American,(M1),Unlaw Use False Name/Identity,,,,,,,0,
108,71.0,0.0,0.0,0.0,12.0,12.0,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,
47,36.0,0.0,0.0,0.0,22.0,22.0,Male,African-American,(M1),Burglary Dwelling Occupied,,,,,,,0,
123,21.0,0.0,0.0,0.0,0.0,0.0,Female,African-American,(M1),Battery,,,,,,,0,
79,56.0,0.0,0.0,0.0,0.0,0.0,Female,African-American,(M1),Battery,,,,,,,0,
115,32.0,0.0,0.0,0.0,8.0,8.0,Female,African-American,(M1),Battery,,,,,,,0,
78,33.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,
27,32.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,
49,29.0,0.0,0.0,0.0,0.0,0.0,Male,Other,(M1),Battery,,,,,,,0,
63,30.0,0.0,0.0,0.0,0.0,0.0,Male,Hispanic,(M1),Possess Cannabis/20 Grams Or Less,,,,,,,0,
113,19.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(M2),Battery,5,(M1),Viol Injunction Protect Dom Violence,,(F3),Battery on Law Enforc Officer,1,
30,27.0,0.0,0.0,0.0,8.0,8.0,Male,African-American,(F3),Carrying Concealed Firearm,2,(M2),Driving License Suspended,,(F3),Felony Battery,1,
107,25.0,0.0,0.0,0.0,9.0,9.0,Male,Caucasian,(F3),Pos Cannabis W/Intent Sel/Del,1,(M2),Driving License Suspended,,(M1),Battery,1,
80,45.0,0.0,0.0,0.0,6.0,6.0,Male,Hispanic,(F3),Possession of Cocaine,1,(M2),Operating W/O Valid License,,(M1),Battery,1,
