person_id,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,"num_r_cases
",sex,race,c_charge_degree,c_charge_desc,num_r_cases,r_charge_degree,r_charge_desc,num_vr_cases,vr_charge_degree,vr_charge_desc,is_recid,"is_violent_recid
"
127,34.0,0.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
42,29.0,0.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
41,33.0,0.0,0.0,0.0,4.0,4.0,Male,Caucasian,(F3),arrest case no charge,,,,,,,0,"0
"
53,34.0,0.0,0.0,0.0,4.0,4.0,Male,Caucasian,(F3),Possession Of Heroin,,,,,,,0,"0
"
27,32.0,0.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Felony Petit Theft,,,,,,,0,"0
"
7,39.0,0.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F3),Grand Theft Dwell Property,,,,,,,0,"0
"
94,41.0,0.0,0.0,0.0,1.0,1.0,Male,Caucasian,(F3),Grand Theft (Motor Vehicle),,,,,,,0,"0
"
65,53.0,0.0,0.0,0.0,8.0,8.0,Male,Caucasian,(F3),Aggravated Assault W/Dead Weap,,,,,,,0,"0
"
75,29.0,0.0,0.0,0.0,4.0,4.0,Male,Caucasian,(F2),arrest case no charge,,,,,,,0,"0
"
100,23.0,0.0,0.0,1.0,2.0,2.0,Male,Hispanic,(F2),arrest case no charge,,,,,,,0,"0
"
25,42.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F2),arrest case no charge,,,,,,,0,"0
"
17,25.0,0.0,0.0,0.0,3.0,3.0,Male,African-American,(F2),arrest case no charge,,,,,,,0,"0
"
24,24.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F2),Poss of Firearm by Convic Felo,,,,,,,0,"0
"
63,30.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F2),Robbery / No Weapon,,,,,,,0,"0
"
46,28.0,0.0,0.0,0.0,8.0,8.0,Male,African-American,(F2),Aggrav Battery w/Deadly Weapon,,,,,,,0,"0
"
58,63.0,0.0,0.0,0.0,1.0,1.0,Male,African-American,(F2),Poss Cocaine/Intent To Del/Sel,,,,,,,0,"0
"
35,63.0,0.0,0.0,0.0,0.0,0.0,Male,African-American,(F2),Aggravated Battery / Pregnant,,,,,,,0,"0
"
12,23.0,0.0,0.0,0.0,3.0,3.0,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,2,(M1),Possess Cannabis/20 Grams Or Less,,(F3),Battery on a Person Over 65,1,"1
"
11,27.0,0.0,0.0,0.0,0.0,0.0,Male,Caucasian,(F7),Burglary Dwelling Assault/Batt,1,(M1),Felony Battery w/Prior Convict,,(M1),Felony Battery w/Prior Convict,1,"1
"
